"YEAR","ICAO","NAME","STATE","ASMA_RADIUS","LABEL","FLIGHTS_UNIMPEDED","TIME_REF","TIME_ADD"
2014,"EBBR","Brussels","Belgium",40,"Brussels (EBBR)",107610,1341821,94862
2014,"EDDF","Frankfurt","Germany",40,"Frankfurt (EDDF)",228400,3173484,595427
2014,"EDDH","Hamburg","Germany",40,"Hamburg (EDDH)",70018,894015,88703
2014,"EDDK","Cologne-Bonn","Germany",40,"Cologne-Bonn (EDDK)",56316,687839,35485
2014,"EDDL","Dusseldorf","Germany",40,"Dusseldorf (EDDL)",102036,1269712,186172
2014,"EDDM","Munich","Germany",40,"Munich (EDDM)",182916,2397756,320430
2014,"EDDS","Stuttgart","Germany",40,"Stuttgart (EDDS)",49694,614002,35907
2014,"EDDT","Berlin/ Tegel","Germany",40,"Berlin/ Tegel (EDDT)",87776,1101663,136062
2014,"EFHK","Helsinki/ Vantaa","Finland",40,"Helsinki/ Vantaa (EFHK)",77796,948641,73739
2014,"EGBB","Birmingham","United Kingdom",40,"Birmingham (EGBB)",43476,581759,26161
2014,"EGCC","Manchester","United Kingdom",40,"Manchester (EGCC)",82741,1118999,128730
2014,"EGKK","London/ Gatwick","United Kingdom",40,"London/ Gatwick (EGKK)",114623,1613538,339617
2014,"EGLL","London/ Heathrow","United Kingdom",40,"London/ Heathrow (EGLL)",225555,3050147,1945729
2014,"EGPH","Edinburgh","United Kingdom",40,"Edinburgh (EGPH)",52787,687155,37849
2014,"EGSS","London/ Stansted","United Kingdom",40,"London/ Stansted (EGSS)",76009,1071216,63396
2014,"EHAM","Amsterdam/ Schiphol","Netherlands",40,"Amsterdam/ Schiphol (EHAM)",218519,2895843,315522
2014,"EIDW","Dublin","Ireland",40,"Dublin (EIDW)",87529,1129762,130979
2014,"EKCH","Copenhagen/ Kastrup","Denmark",40,"Copenhagen/ Kastrup (EKCH)",119080,1341936,160617
2014,"ENGM","Oslo/ Gardermoen","Norway",40,"Oslo/ Gardermoen (ENGM)",0,0,0
2014,"EPWA","Warszawa/ Chopina","Poland",40,"Warszawa/ Chopina (EPWA)",0,0,0
2014,"ESSA","Stockholm/ Arlanda","Sweden",40,"Stockholm/ Arlanda (ESSA)",110194,1349575,119251
2014,"GCLP","Gran Canaria","Spain",40,"Gran Canaria (GCLP)",40249,565648,49015
2014,"LEBL","Barcelona","Spain",40,"Barcelona (LEBL)",129051,1654162,243890
2014,"LEMD","Madrid/ Barajas","Spain",40,"Madrid/ Barajas (LEMD)",168033,2287359,152546
2014,"LEMG","Málaga","Spain",40,"Málaga (LEMG)",50677,681076,44441
2014,"LEPA","Palma de Mallorca","Spain",40,"Palma de Mallorca (LEPA)",78855,985484,105350
2014,"LFLL","Lyon-Saint-Exupéry","France",40,"Lyon-Saint-Exupéry (LFLL)",47159,610923,32667
2014,"LFMN","Nice-Côte d’Azur","France",40,"Nice-Côte d'Azur (LFMN)",0,0,0
2014,"LFPG","Paris-Charles-de-Gaulle","France",40,"Paris-Charles-de-Gaulle (LFPG)",220213,3196216,169087
2014,"LFPO","Paris-Orly","France",40,"Paris-Orly (LFPO)",110725,1520490,111741
2014,"LGAV","Athens","Greece",40,"Athens (LGAV)",67645,891594,35986
2014,"LHBP","Budapest/ Ferihegy","Hungary",40,"Budapest/ Ferihegy (LHBP)",42033,541403,26478
2014,"LIMC","Milan/ Malpensa","Italy",40,"Milan/ Malpensa (LIMC)",78427,953056,45839
2014,"LIML","Milan/ Linate","Italy",40,"Milan/ Linate (LIML)",44417,491567,20723
2014,"LIRF","Rome/Fiumicino","Italy",40,"Rome/Fiumicino (LIRF)",153309,1896227,263967
2014,"LKPR","Prague","Czech Republic",40,"Prague (LKPR)",58116,733940,71413
2014,"LOWW","Vienna","Austria",40,"Vienna (LOWW)",120953,1488263,239220
2014,"LPPT","Lisbon","Portugal",40,"Lisbon (LPPT)",75484,970582,99195
2014,"LSGG","Geneva","Switzerland",40,"Geneva (LSGG)",87969,1146007,179508
2014,"LSZH","Zürich","Switzerland",40,"Zürich (LSZH)",120489,1587320,380147
2014,NA,"Austria","Austria",40,NA,120953,1488263,239220
2014,NA,"Belgium","Belgium",40,NA,107610,1341821,94862
2014,NA,"Czech Republic","Czech Republic",40,NA,58116,733940,71413
2014,NA,"Denmark","Denmark",40,NA,119080,1341936,160617
2014,NA,"Finland","Finland",40,NA,77796,948641,73739
2014,NA,"France","France",40,NA,378097,5327629,313495
2014,NA,"Germany","Germany",40,NA,777156,10138471,1398186
2014,NA,"Greece","Greece",40,NA,67645,891594,35986
2014,NA,"Hungary","Hungary",40,NA,42033,541403,26478
2014,NA,"Ireland","Ireland",40,NA,87529,1129762,130979
2014,NA,"Italy","Italy",40,NA,276153,3340850,330529
2014,NA,"Netherlands","Netherlands",40,NA,218519,2895843,315522
2014,NA,"Norway","Norway",40,NA,0,0,0
2014,NA,"Poland","Poland",40,NA,0,0,0
2014,NA,"Portugal","Portugal",40,NA,75484,970582,99195
2014,NA,"SES","SES",40,NA,3568360,46574337,6790329
2014,NA,"Spain","Spain",40,NA,466865,6173729,595242
2014,NA,"Sweden","Sweden",40,NA,110194,1349575,119251
2014,NA,"Switzerland","Switzerland",40,NA,208458,2733327,559655
2014,NA,"United Kingdom","United Kingdom",40,NA,595191,8122814,2541482
2015,"EBBR","Brussels","Belgium",40,"Brussels (EBBR)",111588,1394865,149357
2015,"EBCI","Charleroi","Belgium",40,"Charleroi (EBCI)",22447,277622,7380
2015,"EDDB","Berlin/ Schoenefeld","Germany",40,"Berlin/ Schoenefeld (EDDB)",34831,458525,22314
2015,"EDDF","Frankfurt","Germany",40,"Frankfurt (EDDF)",227452,3128314,510561
2015,"EDDH","Hamburg","Germany",40,"Hamburg (EDDH)",71634,922645,112156
2015,"EDDK","Cologne-Bonn","Germany",40,"Cologne-Bonn (EDDK)",58834,733792,69306
2015,"EDDL","Dusseldorf","Germany",40,"Dusseldorf (EDDL)",102374,1304411,180509
2015,"EDDM","Munich","Germany",40,"Munich (EDDM)",184473,2422755,322098
2015,"EDDN","Nuremberg","Germany",40,"Nuremberg (EDDN)",20138,252618,14432
2015,"EDDP","Leipzig-Halle","Germany",40,"Leipzig-Halle (EDDP)",27994,361727,41548
2015,"EDDS","Stuttgart","Germany",40,"Stuttgart (EDDS)",53711,666176,47621
2015,"EDDT","Berlin/ Tegel","Germany",40,"Berlin/ Tegel (EDDT)",89215,1137843,162566
2015,"EDDV","Hanover","Germany",40,"Hanover (EDDV)",28895,366317,7782
2015,"EFHK","Helsinki/ Vantaa","Finland",40,"Helsinki/ Vantaa (EFHK)",78330,960329,82973
2015,"EGBB","Birmingham","United Kingdom",40,"Birmingham (EGBB)",47291,603690,14590
2015,"EGCC","Manchester","United Kingdom",40,"Manchester (EGCC)",83524,1129193,154610
2015,"EGGD","Bristol","United Kingdom",40,"Bristol (EGGD)",6383,84429,4113
2015,"EGGW","London/ Luton","United Kingdom",40,"London/ Luton (EGGW)",54582,796973,54323
2015,"EGKK","London/ Gatwick","United Kingdom",40,"London/ Gatwick (EGKK)",129167,1814913,521760
2015,"EGLC","London/ City","United Kingdom",40,"London/ City (EGLC)",41219,586437,93709
2015,"EGLL","London/ Heathrow","United Kingdom",40,"London/ Heathrow (EGLL)",229917,3107494,2047357
2015,"EGNT","Newcastle","United Kingdom",40,"Newcastle (EGNT)",21745,290881,6780
2015,"EGPD","Aberdeen","United Kingdom",40,"Aberdeen (EGPD)",31413,408131,47995
2015,"EGPF","Glasgow","United Kingdom",40,"Glasgow (EGPF)",39326,523632,21971
2015,"EGPH","Edinburgh","United Kingdom",40,"Edinburgh (EGPH)",55468,730466,48864
2015,"EGSS","London/ Stansted","United Kingdom",40,"London/ Stansted (EGSS)",81835,1145327,97108
2015,"EHAM","Amsterdam/ Schiphol","Netherlands",40,"Amsterdam/ Schiphol (EHAM)",226108,3002893,344710
2015,"EIDW","Dublin","Ireland",40,"Dublin (EIDW)",96036,1227743,245814
2015,"EKCH","Copenhagen/ Kastrup","Denmark",40,"Copenhagen/ Kastrup (EKCH)",118446,1386975,175001
2015,"ELLX","Luxembourg","Luxembourg",40,"Luxembourg (ELLX)",27517,355139,13862
2015,"ENBR","Bergen","Norway",40,"Bergen (ENBR)",33994,412346,48122
2015,"ENGM","Oslo/ Gardermoen","Norway",40,"Oslo/ Gardermoen (ENGM)",117592,1408794,276991
2015,"ENVA","Trondheim","Norway",40,"Trondheim (ENVA)",26156,296603,30439
2015,"ENZV","Stavanger","Norway",40,"Stavanger (ENZV)",27907,324106,18745
2015,"EPWA","Warszawa/ Chopina","Poland",40,"Warszawa/ Chopina (EPWA)",0,0,0
2015,"ESGG","Göteborg","Sweden",40,"Göteborg (ESGG)",33077,429210,15241
2015,"ESSA","Stockholm/ Arlanda","Sweden",40,"Stockholm/ Arlanda (ESSA)",108587,1308661,148470
2015,"EVRA","Riga","Latvia",40,"Riga (EVRA)",33066,413382,20845
2015,"GCFV","Fuerteventura","Spain",40,"Fuerteventura (GCFV)",17982,253624,7025
2015,"GCLP","Gran Canaria","Spain",40,"Gran Canaria (GCLP)",39092,547464,53325
2015,"GCRR","Lanzarote","Spain",40,"Lanzarote (GCRR)",20127,275413,9419
2015,"GCTS","Tenerife Sur/Reina Sofia","Spain",40,"Tenerife Sur/Reina Sofia (GCTS)",26326,338552,16470
2015,"GCXO","Tenerife North","Spain",40,"Tenerife North (GCXO)",12034,141530,5773
2015,"LBSF","Sofia","Bulgaria",40,"Sofia (LBSF)",20583,259778,7430
2015,"LEAL","Alicante","Spain",40,"Alicante (LEAL)",36139,511389,23388
2015,"LEBB","Bilbao","Spain",40,"Bilbao (LEBB)",20033,251420,13410
2015,"LEBL","Barcelona","Spain",40,"Barcelona (LEBL)",136906,1748524,272497
2015,"LEIB","Ibiza","Spain",40,"Ibiza (LEIB)",25282,330559,17859
2015,"LEMD","Madrid/ Barajas","Spain",40,"Madrid/ Barajas (LEMD)",179817,2423981,186245
2015,"LEMG","Málaga","Spain",40,"Málaga (LEMG)",51667,684828,46006
2015,"LEPA","Palma de Mallorca","Spain",40,"Palma de Mallorca (LEPA)",78801,1001558,114613
2015,"LEVC","Valencia","Spain",40,"Valencia (LEVC)",24300,319903,9322
2015,"LEZL","Sevilla","Spain",40,"Sevilla (LEZL)",17214,208196,6228
2015,"LFLL","Lyon-Saint-Exupéry","France",40,"Lyon-Saint-Exupéry (LFLL)",51943,670288,44587
2015,"LFMN","Nice-Côte d’Azur","France",40,"Nice-Côte d'Azur (LFMN)",65777,914971,118557
2015,"LFPG","Paris-Charles-de-Gaulle","France",40,"Paris-Charles-de-Gaulle (LFPG)",232311,3373290,172557
2015,"LFPO","Paris-Orly","France",40,"Paris-Orly (LFPO)",115201,1592743,126810
2015,"LFSB","Bâle-Mulhouse","France",40,"Bâle-Mulhouse (LFSB)",35033,472108,23813
2015,"LGAV","Athens","Greece",40,"Athens (LGAV)",77235,1020415,63029
2015,"LHBP","Budapest/ Ferihegy","Hungary",40,"Budapest/ Ferihegy (LHBP)",44649,578077,26277
