kpi,metric,plot_type,ranking,date_grouping,yearly,monthly,breakdown,legend,shortname
En-Route ATFM Delay,Delays per Flight,bar,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,ER_ATFM
En-Route ATFM Delay,Delays per Flight (Yearly),line,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,ER_ATFM_TRENDS
En-Route ATFM Delay,Delays per Flight (Month),bar,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,ER_ATFM_MON
En-Route ATFM Delay,Delay Ranking (Yearly),bar,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,ER_ATFM_RANK
En-Route ATFM Delay,Delay Ranking (Month),bar,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,ER_ATFM_RANK_MON
En-Route ATFM Delay,FAB State Delay Ranking (Yearly),bar,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,ER_ATFM_RANK_FABSTATE
En-Route ATFM Delay,FAB State Delay Ranking (Month),bar,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,ER_ATFM_RANK_FABSTATE_MON
En-Route ATFM Delay,SES State Delay Ranking (Yearly),bar,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,ER_ATFM_RANK_SESSTATE
En-Route ATFM Delay,SES State Delay Ranking (Month),bar,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,ER_ATFM_RANK_SESSTATE_MON
En-Route ATFM Delay,No. of Monthly Delays,line,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ER_ATFM_NUM
En-Route ATFM Delay,Percentage Monthly Delays,line,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ER_ATFM_PERC
En-Route ATFM Delay,No. of Monthly Delays (15min+),line,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ER_ATFM_NUM15
En-Route ATFM Delay,Percentage Monthly Delays (15min+),line,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ER_ATFM_PERC15
Airport Arrival ATFM Delay,Delays per Flight,bar,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,APT_ATFM
Airport Arrival ATFM Delay,Delays per Flight (Yearly),line,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,APT_ATFM_TRENDS
Airport Arrival ATFM Delay,Delays per Flight (Month),bar,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,APT_ATFM_MON
Airport Arrival ATFM Delay,Airport Delay Ranking (Yearly),bar,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,APT_ATFM_RANK_APT
Airport Arrival ATFM Delay,Airport Delay Ranking (Month),bar,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,APT_ATFM_RANK_APT_MON
Airport Arrival ATFM Delay,State Airport Delay Ranking (Yearly),bar,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,APT_ATFM_RANK_STATEAPT
Airport Arrival ATFM Delay,State Airport Delay Ranking (Month),bar,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,APT_ATFM_RANK_STATEAPT_MON
Airport Arrival ATFM Delay,State Delay Ranking (Yearly),bar,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,APT_ATFM_RANK_STATE
Airport Arrival ATFM Delay,State Delay Ranking (Month),bar,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,APT_ATFM_RANK_STATE_MON
Airport Arrival ATFM Delay,FAB Delay Ranking (Yearly),bar,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,APT_ATFM_RANK_FAB
Airport Arrival ATFM Delay,FAB Delay Ranking (Month),bar,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,APT_ATFM_RANK_FAB_MON
ASMA Additional Time,Average Monthly Delays,line,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,ASMA_ADD
ASMA Additional Time,Average Monthly Delays (Yearly),line,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,ASMA_ADD_TRENDS
